r_fighter,b_fighter,winner,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg
Maki Pitolo,Darren Stewart,Blue,0,12,31,0.38,14,33,0.42,1,1,1,0,0,17,13,9,4.1,3.93,0.44,0.52,0.55,0.5,0.8,2.24,0,13,38,0.34,14,39,0.36,0,1,0,1,0,19,12,8,3.05,3.29,0.45,0.45,0.48,0.67,0.1,1.75
Yana Santos,Julija Stoliarenko,Red,0,43,57,0.75,209,254,0.82,1,2,0.5,0,0,796,14,8,4.16,3.03,0.56,0.53,0.5,0.42,0.1,1.11,0,6,26,0.23,30,50,0.6,0,1,0,0,0,21,11,9,2.49,4.54,0.39,0.27,0.46,0.54,1.7,0.93
Beneil Dariush,Scott Holtzman,Red,1,36,64,0.56,36,64,0.56,0,2,0,0,0,117,22,6,3.78,2.65,0.48,0.34,0.57,0.8,0.9,1.9,0,9,18,0.5,11,20,0.55,0,1,0,0,0,24,14,6,4.32,3.66,0.47,0.56,0.55,0.67,0.2,1.88
Tim Means,Laureano Staropoli,Red,1,85,147,0.57,126,189,0.67,2,6,0.33,0,0,367,33,15,5.1,3.65,0.49,0.42,0.6,0.65,0.2,1.16,0,71,161,0.44,81,172,0.47,0,1,0,0,0,4,9,5,3.31,3.73,0.34,0.26,0.54,0.48,0,0.83
Kevin Holland,Joaquin Buckley,Red,2,79,134,0.58,86,141,0.61,0,0,0,0,0,12,25,11,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,0,40,120,0.33,41,121,0.34,0,2,0,0,0,13,17,6,3.87,3.31,0.33,0.36,0.57,0.65,0,1.51
Nasrat Haqparast,Alexander Munoz,Red,0,104,215,0.48,108,219,0.49,0,0,0,0,0,2,16,5,5.78,5.25,0.44,0.2,0.64,0.78,0,0.31,0,37,144,0.25,40,147,0.27,1,8,0.12,0,0,54,7,2,3.7,4.73,0.42,0.4,0.55,1,0,3
Andrew Sanchez,Wellington Turman,Red,1,28,55,0.5,40,68,0.59,0,1,0,0,0,71,13,7,4.3,5.1,0.43,0.36,0.5,1,0,2.55,0,21,51,0.41,26,56,0.46,0,1,0,0,0,0,18,8,3.23,4.17,0.51,0.2,0.45,0.42,0.8,1.55
Gavin Tucker,Justin Jaynes,Red,0,87,211,0.41,88,212,0.42,1,2,0.5,4,1,84,13,3,4.29,4.18,0.44,0.44,0.57,0.53,1.5,3.13,1,41,101,0.4,42,103,0.41,0,1,0,1,1,38,16,8,3.34,5.33,0.44,0.4,0.62,0.2,1.1,0.75
Youssef Zalal,Peter Barrett,Red,1,54,92,0.58,82,129,0.64,3,5,0.6,3,0,414,14,5,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28,0,23,57,0.4,68,107,0.64,0,2,0,0,0,94,11,5,4.18,4.32,0.61,0.22,0.42,0.66,0,1.39
Irwin Rivera,Ali AlQaisi,Red,0,36,73,0.49,45,82,0.55,2,5,0.4,0,0,62,10,6,3.36,5.07,0.44,0.16,0.57,0.7,0,1,0,44,105,0.41,54,118,0.46,2,9,0.22,1,0,115,8,5,2.43,1.97,0.42,0.29,0.56,0.6,1,3.5
Derek Brunson,Edmen Shahbazyan,Red,0,88,145,0.6,107,164,0.65,4,8,0.5,0,0,186,23,9,3.51,3.05,0.47,0.33,0.51,0.85,0.6,3.14,0,35,72,0.48,38,75,0.51,0,0,0,0,0,3,13,4,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24
Joanne Wood,Jennifer Maia,Blue,0,26,49,0.53,33,57,0.58,1,1,1,0,0,131,17,8,7.1,4.89,0.51,0.55,0.51,0.58,0.3,1.52,0,20,37,0.54,31,49,0.63,0,0,0,1,0,0,21,10,4.35,4.52,0.38,0.27,0.55,0.58,0.1,0.42
Vicente Luque,Randy Brown,Red,2,64,122,0.52,76,134,0.57,0,0,0,0,0,66,22,9,5.17,5.15,0.52,0.6,0.52,0.62,0.7,1.04,0,61,133,0.45,66,138,0.48,1,2,0.5,0,0,52,18,5,4.37,3.33,0.46,0.39,0.54,0.74,0.5,0.78
Lando Vannata,Bobby Green,Blue,0,54,127,0.42,64,139,0.46,1,2,0.5,0,0,27,12,7,4.52,4.76,0.45,0.37,0.55,0.69,0.3,1.09,1,115,195,0.58,136,219,0.62,3,3,1,0,0,185,31,15,6.14,3.74,0.52,0.37,0.62,0.74,0.3,1.2
Frankie Saenz,Jonathan Martinez,Blue,0,39,72,0.54,52,85,0.61,1,4,0.25,0,0,70,13,7,3.94,3.5,0.47,0.31,0.52,0.61,0.1,1.74,3,79,133,0.59,88,143,0.62,1,1,1,0,0,45,19,4,4.64,3.76,0.5,0.41,0.58,0.69,0.1,0.44
Johnny Munoz,Nate Maness,Blue,0,49,78,0.62,129,168,0.77,2,16,0.12,1,0,582,12,4,2.44,2.66,0.36,0.25,0.55,0.45,1.8,2.4,0,21,50,0.42,158,194,0.81,1,1,1,0,0,89,15,3,2.33,4.29,0.48,0.75,0.4,0.78,0.3,0.87
Jamall Emmers,Vince Cachero,Red,0,103,196,0.52,113,209,0.54,5,7,0.71,0,0,347,20,7,5.1,3.79,0.48,0.4,0.57,0.9,0.2,1.96,0,76,152,0.5,121,201,0.6,0,2,0,0,0,28,7,4,3.29,6.51,0.45,0,0.43,0.18,0.5,0
Robert Whittaker,Darren Till,Red,1,69,157,0.43,100,188,0.53,2,13,0.15,0,0,149,26,7,4.57,3.45,0.42,0.38,0.59,0.82,0,0.81,0,41,99,0.41,50,108,0.46,0,0,0,0,0,35,18,5,2.3,3.31,0.46,0.46,0.56,0.69,0,0.55
Mauricio Rua,Rogerio Nogueira,Red,0,54,103,0.52,78,129,0.6,2,4,0.5,0,0,177,27,14,3.57,2.79,0.5,0.48,0.54,0.49,0.7,2.01,0,46,100,0.46,75,129,0.58,0,0,0,0,0,81,23,10,2.43,2.34,0.35,0.44,0.59,0.62,0.8,0.64
Fabricio Werdum,Alexander Gustafsson,Red,0,4,5,0.8,4,5,0.8,1,2,0.5,1,0,66,24,9,3.59,2.64,0.52,0.31,0.55,0.31,1.2,1.75,0,11,19,0.57,14,22,0.64,0,0,0,0,0,12,18,8,4.03,3.53,0.4,0.39,0.51,0.83,0.4,1.53
Carla Esparza,Marina Rodriguez,Red,0,33,60,0.55,118,152,0.78,5,9,0.55,1,0,534,20,7,2.16,2.69,0.4,0.35,0.55,0.47,0.3,3.22,0,40,76,0.52,91,129,0.71,0,0,0,0,0,64,17,3,4.77,2.89,0.48,0.42,0.56,0.66,0.2,0.25
Paul Craig,Gadzhimurad Antigulov,Red,0,2,5,0.4,4,7,0.57,0,0,0,1,0,0,17,7,2.42,2.86,0.46,0.22,0.45,0.37,1.6,1.76,0,11,16,0.68,16,22,0.73,1,2,0.5,0,0,101,20,8,2.08,4.21,0.55,0.36,0.4,0,1.4,5.08
Alex Oliveira,Peter Sobotta,Red,1,45,93,0.48,48,96,0.5,0,0,0,0,0,26,22,12,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,29,67,0.43,30,68,0.44,0,3,0,0,0,47,17,7,2.14,2.9,0.4,0.32,0.58,0.77,0.5,1.53
Khamzat Chimaev,Rhys McKee,Red,0,40,62,0.64,68,98,0.69,1,2,0.5,1,0,179,13,0,5.72,3.46,0.58,0.46,0.42,1,2.7,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,6.06,9.47,0.48,0,0.44,0.33,0,0
Francisco Trinaldo,Jai Herbert,Red,1,30,58,0.51,37,66,0.56,2,3,0.66,2,1,198,28,9,3.13,2.67,0.45,0.42,0.6,0.6,0.5,0.98,1,21,70,0.3,37,90,0.41,0,0,0,0,0,200,12,5,2.69,3.15,0.41,0.1,0.45,0.57,0,0.2
Tom Aspinall,Jake Collier,Red,1,10,10,1,10,10,1,0,0,0,0,0,2,14,3,7.72,2.77,0.66,1,0.66,1,1.7,3.46,0,3,9,0.33,3,9,0.33,0,0,0,0,0,0,13,10,5.8,5.08,0.44,0.33,0.5,0.67,0.6,0.71
Movsar Evloev,Mike Grundy,Red,0,79,150,0.52,96,173,0.55,0,0,0,0,0,48,18,0,4.43,2.89,0.48,0.46,0.61,0.71,0.2,4.75,0,20,66,0.3,25,80,0.31,6,15,0.4,1,0,155,12,4,2.09,4.45,0.45,0.28,0.56,0.5,0.4,4.06
Tanner Boser,Raphael Pessoa,Red,0,43,60,0.71,43,60,0.72,0,0,0,0,0,6,21,10,4.7,2.75,0.52,0,0.58,0.63,0,0,0,12,36,0.33,13,37,0.35,0,1,0,0,0,0,10,2,2.16,3.43,0.26,0,0.42,1,0,0
Bethe Correia,Pannie Kianzad,Blue,0,56,143,0.39,83,178,0.47,1,5,0.2,0,0,121,11,6,4.37,4.93,0.43,0.18,0.56,0.85,0,0.39,0,103,199,0.51,106,205,0.52,0,0,0,0,0,5,17,8,4.74,3.67,0.49,0.33,0.53,0.66,0.1,0.46
Ramazan Emeev,Niklas Stolze,Red,0,29,67,0.43,67,114,0.59,4,12,0.33,2,0,410,20,6,2.53,2.14,0.45,0.29,0.65,0.66,0.7,2.37,0,30,72,0.41,41,85,0.48,1,1,1,0,0,21,12,6,2.12,2.25,0.48,1,0.49,0.55,0.7,0.66
Nathaniel Wood,John Castaneda,Red,0,131,232,0.56,136,240,0.57,1,3,0.33,0,0,49,20,6,5.91,4.22,0.5,0.48,0.56,0.7,0.5,1.74,0,55,130,0.42,66,141,0.47,0,1,0,0,0,11,21,6,4.79,4.99,0.5,0.37,0.56,0.71,0.2,1.92
Deiveson Figueiredo,Joseph Benavidez,Red,2,35,40,0.87,40,45,0.89,0,0,0,4,0,143,22,3,3.08,3.46,0.55,0.44,0.51,0.58,1.6,1.65,0,18,28,0.64,22,33,0.67,0,0,0,0,0,0,28,8,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41
Jack Hermansson,Kelvin Gastelum,Red,0,2,4,0.5,2,4,0.5,0,1,0,1,0,0,24,8,5.09,3.69,0.44,0.3,0.56,0.8,0.4,1.53,0,0,3,0,1,5,0.2,1,1,1,0,0,33,18,9,3.55,3.23,0.41,0.3,0.58,0.59,0.1,0.96
Marc Diakiese,Rafael Fiziev,Blue,0,68,148,0.45,73,153,0.48,0,4,0,0,0,22,17,7,2.54,2.64,0.4,0.43,0.52,0.66,0,3.29,0,78,124,0.62,82,128,0.64,1,2,0.5,0,0,169,12,3,4.9,4.97,0.51,0.4,0.49,0.89,0,0.29
Ariane Lipski,Luana Carolina,Red,0,3,4,0.75,11,12,0.92,0,0,0,1,0,67,17,8,4.27,4.23,0.4,0.55,0.52,0.79,0.4,0.64,0,2,4,0.5,2,4,0.5,0,0,0,1,0,0,10,4,4.63,3.63,0.49,0.42,0.49,0.76,0.6,0.38
Alexandre Pantoja,Askar Askarov,Blue,0,32,62,0.51,40,71,0.56,1,2,0.5,0,0,137,27,5,4.32,3.9,0.49,0.48,0.5,0.67,1,2.2,0,41,63,0.65,44,66,0.67,2,15,0.13,0,1,311,14,1,3.05,2.8,0.54,0.24,0.57,0.66,0.4,2.6
Roman Dolidze,Khadis Ibragimov,Red,1,19,22,0.86,19,22,0.86,0,0,0,0,0,3,12,3,2.62,3.36,0.39,0.4,0.51,0.33,1.3,1.3,0,4,14,0.28,10,20,0.5,0,0,0,0,0,34,8,4,3.55,4.26,0.49,0.3,0.47,0.8,0.3,0.97
Grant Dawson,Nad Narimani,Red,0,53,115,0.46,136,218,0.62,2,6,0.33,1,0,491,20,2,2.97,2.27,0.51,0.36,0.45,0.4,1.5,3.68,0,31,76,0.4,57,105,0.54,0,0,0,0,0,9,12,4,3.33,3,0.42,0.41,0.58,0.7,0,1.92
Joe Duffy,Joel Alvarez,Blue,0,14,26,0.53,14,26,0.54,1,1,1,0,0,9,16,5,2.68,3.78,0.34,0.66,0.54,0.64,0.7,0.96,0,18,37,0.48,18,37,0.49,0,0,0,1,0,0,20,3,3.65,3.37,0.46,0,0.5,0.11,1.3,0
Brett Johns,Montel Jackson,Red,0,11,19,0.57,30,39,0.77,8,19,0.42,1,0,522,17,2,2.86,3.84,0.49,0.49,0.53,0.58,1,4.92,1,26,44,0.59,80,99,0.81,2,3,0.66,0,1,161,13,2,3.36,1.41,0.53,0.71,0.64,0.69,0.3,3.42
Malcolm Gordon,Amir Albazi,Blue,0,3,16,0.18,5,18,0.28,0,0,0,0,1,22,14,8,2.5,2,0.45,0.35,0.43,0.26,1,1.72,0,12,28,0.42,28,46,0.61,1,1,1,1,0,141,17,1,2.8,3.07,0.39,0.33,0.63,0.4,0.7,1.71
Davi Ramos,Arman Tsarukyan,Blue,0,33,103,0.32,49,122,0.4,0,5,0,0,0,18,10,4,2.64,3.44,0.37,0.4,0.56,0.83,0.6,1.95,0,91,197,0.46,118,227,0.52,1,5,0.2,0,0,188,21,3,3.85,1.91,0.48,0.36,0.54,0.75,0,3.4
Carlos Felipe,Serghei Spivac,Blue,0,44,121,0.36,44,121,0.36,0,0,0,0,0,0,11,2,4.88,5.6,0.45,0,0.5,0.72,0,0,0,73,149,0.48,165,253,0.65,3,7,0.42,0,0,292,16,4,3.54,3.79,0.49,0.64,0.49,0.7,0.5,4.56
Calvin Kattar,Dan Ige,Red,0,105,260,0.4,107,262,0.41,1,1,1,0,0,66,23,7,5.12,7.1,0.39,0.29,0.54,0.91,0.1,0.42,0,84,218,0.38,87,221,0.39,0,9,0,0,0,3,18,7,3.76,3.52,0.45,0.26,0.57,0.58,0.3,1.06
Tim Elliott,Ryan Benoit,Red,0,67,169,0.39,90,193,0.47,1,13,0.07,2,1,162,21,13,3.39,2.66,0.44,0.47,0.56,0.59,1,3.73,0,55,122,0.45,64,131,0.49,1,2,0.5,2,0,22,10,8,2.88,3.65,0.39,0.22,0.58,0.72,0.4,0.28
Jimmie Rivera,Cody Stamann,Red,0,48,89,0.53,90,134,0.67,2,3,0.66,1,0,119,23,5,4.03,3.9,0.4,0.27,0.6,0.92,0.1,0.88,0,26,72,0.36,62,108,0.57,1,5,0.2,0,0,265,21,6,4.39,3.63,0.47,0.39,0.62,0.76,0,2.34
Molly McCann,Taila Santos,Blue,0,48,106,0.45,67,125,0.54,0,4,0,0,0,56,14,6,5.79,4.94,0.49,0.38,0.63,0.43,0.6,1.82,0,57,143,0.39,75,164,0.46,5,7,0.71,1,0,473,19,3,3.39,2.64,0.48,0.76,0.58,0.86,1.1,2
Abdul Razak Alhassan,Mounir Lazzez,Blue,0,67,133,0.5,70,136,0.51,1,4,0.25,0,0,91,12,6,3.37,3.99,0.48,0.38,0.55,0.5,0.2,0.89,0,98,177,0.55,114,194,0.59,4,4,1,0,0,292,11,3,7.49,5.42,0.55,0.57,0.53,0.71,0,1.8
John Phillips,Khamzat Chimaev,Blue,0,1,2,0.5,2,3,0.67,0,0,0,0,0,0,22,11,1.72,4.03,0.34,0,0.49,0.07,0,0,0,43,52,0.82,124,140,0.89,2,2,1,1,0,354,13,0,5.72,3.46,0.58,0.46,0.42,1,2.7,3.99
Ricardo Ramos,Lerone Murphy,Blue,0,10,29,0.34,10,29,0.34,0,2,0,0,0,57,16,6,3.21,3.74,0.37,0.6,0.57,0.72,0.7,3.02,0,22,40,0.55,24,42,0.57,1,2,0.5,0,0,82,13,0,3.65,2.4,0.5,0.46,0.56,0.46,0.9,1.29
Modestas Bukauskas,Andreas Michailidis,Red,0,18,49,0.36,18,49,0.37,0,0,0,0,0,0,15,6,3.28,3.87,0.41,0,0.5,0.71,0,0,0,23,46,0.5,23,46,0.5,0,1,0,0,0,9,13,6,2.9,3.57,0.51,0.27,0.44,0.5,0,1.12
Jared Gordon,Chris Fishgold,Red,0,44,69,0.63,241,282,0.85,3,6,0.5,0,0,622,20,6,5.39,3.4,0.57,0.4,0.57,0.62,0,1.95,0,20,58,0.34,27,65,0.42,0,1,0,1,1,43,18,4,2.01,2.7,0.32,0.46,0.46,0.44,1.3,2.59
Diana Belbita,Liana Jojua,Blue,0,5,9,0.55,6,11,0.55,1,2,0.5,0,0,94,15,9,6.54,6.55,0.42,0.62,0.51,0.65,0,0.91,0,2,3,0.66,3,4,0.75,0,0,0,3,0,52,8,5,2.42,5.32,0.3,0.66,0.54,0.5,1.3,1.71
Jack Shore,Aaron Phillips,Red,0,29,45,0.64,42,59,0.71,3,8,0.37,1,0,325,17,1,3.84,2.2,0.58,0.4,0.57,0.79,0.7,3.42,0,6,15,0.4,7,16,0.44,0,0,0,0,0,5,12,5,1.51,3.66,0.53,0.5,0.43,0.44,0.6,0.86
Kamaru Usman,Jorge Masvidal,Red,0,94,151,0.62,263,341,0.77,5,16,0.31,0,0,998,20,4,4.36,2.74,0.52,0.45,0.54,0.89,0.1,2.82,0,66,125,0.52,88,157,0.56,0,0,0,0,0,0,35,17,4.05,3.05,0.47,0.59,0.64,0.72,0.3,1.38
Alexander Volkanovski,Max Holloway,Red,0,137,272,0.5,139,275,0.51,3,9,0.33,0,0,86,26,4,6.16,3.44,0.56,0.37,0.58,0.7,0.2,1.78,0,102,268,0.38,111,277,0.4,0,0,0,0,0,0,25,7,7.17,4.75,0.47,0.53,0.59,0.84,0.3,0.27
Petr Yan,Jose Aldo,Red,1,194,309,0.62,258,376,0.69,1,2,0.5,0,0,290,17,5,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,83,157,0.52,83,157,0.53,0,1,0,0,0,0,31,8,3.57,3.74,0.46,0.54,0.6,0.91,0.1,0.49
Jessica Andrade,Rose Namajunas,Blue,0,71,205,0.34,79,213,0.37,1,3,0.33,0,0,29,25,12,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,82,235,0.34,82,235,0.35,0,1,0,0,0,0,13,6,3.69,3.51,0.41,0.47,0.63,0.59,0.5,1.38
Amanda Ribas,Paige VanZant,Red,0,6,7,0.85,13,15,0.87,1,1,1,1,0,68,12,5,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,3,5,0.6,4,6,0.67,0,0,0,0,0,32,8,5,3.35,2.62,0.52,0.33,0.42,0.34,1,1.27
Volkan Oezdemir,Jiri Prochazka,Blue,0,41,92,0.44,44,95,0.46,0,1,0,0,0,17,19,7,4.59,3.92,0.47,0.33,0.55,0.8,0.1,0.57,1,33,73,0.45,33,73,0.45,0,0,0,0,0,2,29,4,5.31,5.17,0.55,0.5,0.4,0.68,0.3,0.61
Elizeu Zaleski dos Santos,Muslim Salikhov,Blue,0,46,138,0.33,46,138,0.33,0,4,0,0,0,53,24,7,4.52,3.33,0.42,0.13,0.57,0.68,0.4,0.43,0,40,88,0.45,40,88,0.45,0,3,0,0,0,2,19,5,3.36,2.94,0.51,0.4,0.62,0.73,0,1.27
Makwan Amirkhani,Danny Henry,Red,0,2,6,0.33,2,6,0.33,1,1,1,1,0,47,17,9,1.33,2.98,0.44,0.43,0.46,0.35,1.1,3.96,0,6,16,0.37,6,16,0.38,0,0,0,0,0,0,12,4,5.2,4.16,0.51,0.33,0.45,0.5,2.2,0.74
Leonardo Santos,Roman Bogatov,Red,0,66,119,0.55,116,181,0.64,1,2,0.5,0,0,94,18,7,2.82,3.4,0.46,0.25,0.54,0.86,0.2,0.88,0,50,117,0.42,81,155,0.52,1,11,0.09,0,1,367,10,1,3.33,4.4,0.42,0.09,0.44,0.5,0,1
Marcin Tybura,Maxim Grishin,Red,0,24,52,0.46,70,119,0.59,3,7,0.42,0,0,565,25,8,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43,0,18,32,0.56,54,71,0.76,0,0,0,0,0,16,32,10,3.26,2.27,0.52,0.16,0.58,0.66,0,0.21
Raulian Paiva,Zhalgas Zhumagulov,Red,0,52,121,0.42,56,125,0.45,0,0,0,0,0,43,21,5,4.14,5.01,0.42,0.23,0.48,0.77,0.2,0.65,0,66,119,0.55,73,126,0.58,2,11,0.18,0,0,29,14,9,5.24,5.86,0.43,0.19,0.52,0.75,0.2,1.3
Karol Rosa,Vanessa Melo,Red,0,120,228,0.52,177,289,0.61,2,4,0.5,0,0,350,17,6,6.34,4.78,0.56,0.45,0.49,0.68,0,1.22,0,45,135,0.33,78,168,0.46,0,2,0,0,0,6,11,8,3.48,6.13,0.3,0,0.59,0.71,0,0
Martin Day,Davey Grant,Blue,1,62,160,0.38,69,168,0.41,0,1,0,0,1,88,8,6,3.97,3.79,0.45,0.6,0.53,0.65,0.5,0.72,1,74,177,0.41,87,191,0.46,2,4,0.5,1,0,128,15,7,4.77,3.82,0.42,0.41,0.55,0.61,0.2,1.26
Dustin Poirier,Dan Hooker,Red,0,153,231,0.66,208,289,0.72,1,7,0.14,4,0,169,30,8,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,155,253,0.61,182,283,0.64,4,9,0.44,0,0,362,23,12,5.08,4.76,0.48,0.34,0.51,0.8,0.4,0.79
Mike Perry,Mickey Gall,Red,1,76,131,0.58,103,158,0.65,1,1,1,0,0,344,14,8,4.32,5.16,0.47,0.4,0.52,0.78,0.2,0.81,0,55,106,0.51,59,111,0.53,0,6,0,0,1,51,7,5,2.94,4.25,0.46,0.3,0.49,0.36,1.9,1.21
Gian Villante,Maurice Greene,Blue,1,72,105,0.68,91,126,0.72,0,0,0,0,0,157,17,14,4.38,5.47,0.44,0.23,0.55,0.83,0,0.45,0,63,137,0.45,64,139,0.46,0,0,0,1,0,0,9,7,3.28,3.61,0.45,0,0.45,0.27,0.4,0
Brendan Allen,Kyle Daukaus,Red,1,41,66,0.62,79,109,0.72,0,0,0,0,4,337,23,5,3.87,3.6,0.54,0.47,0.46,0.58,1.7,1.36,0,34,58,0.58,92,127,0.72,3,5,0.6,0,1,464,11,4,3.22,2.94,0.52,0.25,0.42,0.82,1.9,2.12
Takashi Sato,Jason Witt,Red,1,18,21,0.85,18,21,0.86,0,0,0,0,0,11,16,7,2.21,3.73,0.41,0.37,0.44,0.6,0,0.76,0,2,5,0.4,2,5,0.4,0,1,0,0,0,0,19,9,2.15,2.54,0.44,0.48,0.52,1,0.9,6.9
Sean Woodson,Julian Erosa,Blue,1,106,219,0.48,116,230,0.5,0,0,0,0,0,5,11,1,5.4,4,0.46,0.62,0.58,0.84,0.5,0.76,0,103,206,0.5,107,210,0.51,3,6,0.5,1,0,73,29,12,6.14,6.29,0.48,0.46,0.47,0.58,0.8,1.63
Luis Pena,Khama Worthy,Blue,0,38,77,0.49,40,79,0.51,3,7,0.42,3,0,253,9,3,3.66,3.12,0.46,0.33,0.51,0.48,1.2,1.17,0,55,101,0.54,66,114,0.58,0,0,0,1,2,46,16,9,4.18,4.45,0.48,0,0.46,0.57,0.7,0
Philipe Lins,Tanner Boser,Blue,0,6,17,0.35,6,17,0.35,0,0,0,0,0,0,18,5,3.8,3.59,0.49,0.33,0.46,1,0,1.65,1,15,22,0.68,15,22,0.68,0,0,0,0,0,1,21,10,4.7,2.75,0.52,0,0.58,0.63,0,0
Kay Hansen,Jinh Yu Frey,Red,0,31,55,0.56,43,67,0.64,2,11,0.18,1,0,271,7,6,3.01,3.19,0.5,0.22,0.51,0.37,0.8,1.83,0,26,46,0.56,27,48,0.56,0,0,0,0,0,7,11,10,2.97,4.23,0.43,0.36,0.52,0.9,0.3,1.02
Jordan Griffin,Youssef Zalal,Blue,0,28,69,0.4,33,74,0.45,2,8,0.25,0,1,334,18,9,2.52,3.02,0.46,0.35,0.5,0.42,1.9,1.45,0,59,112,0.52,70,123,0.57,0,2,0,0,1,263,14,5,2.88,1.73,0.49,0.34,0.65,0.6,1.3,2.28
Curtis Blaydes,Alexander Volkov,Red,0,69,99,0.69,116,163,0.71,14,25,0.56,0,0,1192,18,4,3.53,1.83,0.5,0.53,0.59,0.31,0,5.72,0,31,77,0.4,127,177,0.72,1,2,0.5,0,0,46,37,10,5.1,3,0.57,0.63,0.54,0.73,0.2,0.49
Josh Emmett,Shane Burgos,Red,2,127,266,0.47,136,275,0.49,1,1,1,0,0,84,19,4,4.04,4.61,0.36,0.37,0.61,0.46,0.1,0.91,0,128,250,0.51,148,270,0.55,0,0,0,0,0,0,15,3,7.4,6.78,0.52,0.44,0.56,0.91,0.4,0.43
Raquel Pennington,Marion Reneau,Red,0,107,154,0.69,118,165,0.72,1,2,0.5,0,1,329,16,9,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,46,117,0.39,81,154,0.53,2,4,0.5,0,0,228,9,8,3.2,3.52,0.41,0.63,0.59,0.5,0.8,0.62
Belal Muhammad,Lyman Good,Red,0,82,172,0.47,86,176,0.49,2,8,0.25,0,0,104,23,3,4.55,3.64,0.43,0.35,0.57,0.93,0.2,1.98,0,81,172,0.47,84,175,0.48,0,0,0,0,0,7,21,6,5.34,4.01,0.48,1,0.63,0.75,0,0.27
Jim Miller,Roosevelt Roberts,Red,0,2,3,0.66,9,10,0.9,0,0,0,1,0,108,37,17,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,0,1,2,0.5,7,8,0.88,0,0,0,0,0,26,12,5,3.05,3.12,0.44,0.29,0.52,0.52,0.9,1.39
Clay Guida,Bobby Green,Blue,0,23,65,0.35,27,69,0.39,3,12,0.25,0,0,272,38,21,2.64,3.01,0.33,0.36,0.61,0.67,0.6,3.13,0,85,150,0.56,90,158,0.57,2,3,0.66,2,0,71,31,15,6.14,3.74,0.52,0.37,0.62,0.74,0.3,1.2
Tecia Torres,Brianna Fortino,Red,0,74,160,0.46,111,199,0.56,0,3,0,0,0,129,13,6,4.74,3.59,0.48,0.14,0.61,0.61,0.1,0.66,0,34,68,0.5,37,71,0.52,2,7,0.28,0,0,274,9,3,3.53,3.23,0.41,0.45,0.57,0.66,0,2.5
Cortney Casey,Gillian Robertson,Blue,0,22,55,0.4,113,153,0.74,0,0,0,0,0,0,10,10,4.29,4,0.39,0.31,0.55,0.39,0.5,0.39,0,21,50,0.42,41,72,0.57,3,4,0.75,1,0,665,13,8,2.61,3.12,0.46,0.43,0.56,0.43,1,2.53
Frank Camacho,Justin Jaynes,Blue,0,4,15,0.26,4,15,0.27,0,0,0,0,0,0,22,10,6.56,7.44,0.46,0.31,0.51,0.73,0,1.11,1,16,30,0.53,16,30,0.53,0,0,0,0,0,3,16,8,3.34,5.33,0.44,0.4,0.62,0.2,1.1,0.75
Roxanne Modafferi,Lauren Murphy,Blue,0,44,174,0.25,71,206,0.34,0,1,0,0,1,248,25,21,3.35,5.7,0.3,0.23,0.51,0.3,0.1,1.35,0,72,158,0.45,92,178,0.52,2,3,0.66,0,0,53,16,6,4.05,5.25,0.39,0.25,0.55,0.69,0.1,1.03
Austin Hubbard,Max Rohskopf,Red,0,58,101,0.57,59,102,0.58,0,0,0,0,0,0,16,7,3.83,3.37,0.46,0.52,0.56,0.63,0,1.55,0,17,54,0.31,17,55,0.31,2,6,0.33,1,0,67,5,1,1.7,5.8,0.31,0.33,0.42,0,1.5,3
Jessica Eye,Cynthia Calvillo,Blue,0,70,280,0.25,70,283,0.25,0,0,0,0,0,0,15,11,3.86,4.19,0.37,0.4,0.55,0.57,0.5,0.58,0,113,237,0.47,150,294,0.51,4,7,0.57,0,0,466,9,6,4.41,4.12,0.38,0.44,0.64,0.77,0.8,1.8
